"","Username","Print Job Description","Date","Pages","Cost","Bal."
"","finn9028","PASS-FAIL","2/26/19 6:17 PM","6","-0.30","64.30"
"","finn9028","Microsoft Word - Lazhar vocab fiche","2/15/19 2:23 PM","1","-0.05","64.60"
"","finn9028","1099 Logan Finney 2018.pdf","2/6/19 3:30 PM","2","-0.10","64.65"
"","finn9028","Microsoft Word - Lumumba fiche","1/30/19 1:39 PM","1","-0.05","64.75"
"","finn9028","Microsoft Word - Indig?nes","1/23/19 2:22 PM","1","-0.05","64.80"
"","finn9028","Deposit: automatic term increase: 201820","12/13/18 1:04 PM","0","12.50","64.85"
"","finn9028","statement.pdf","12/12/18 3:17 PM","2","-0.10","52.35"
"","finn9028","Chegg - Packing Slip and Return Label.pdf","12/12/18 3:17 PM","2","-0.10","52.45"
"","finn9028","Microsoft Word - article 11 wes.docx","11/15/18 12:41 PM","2","-0.10","52.55"
"","finn9028","PDF File","11/5/18 1:01 PM","50","-2.50","52.65"
"","finn9028","PDF File","11/5/18 12:57 PM","50","-2.50","55.15"
"","finn9028","PDF File","11/5/18 12:34 PM","20","-1.00","57.65"
"","finn9028","PDF File","11/4/18 4:58 PM","105","-5.25","58.65"
"","finn9028","PDF File","11/4/18 4:55 PM","40","-2.00","63.90"
"","finn9028","PDF File","11/4/18 4:53 PM","10","-0.50","65.90"
"","finn9028","election day cards-2pages (1).pdf","11/3/18 11:40 AM","2","-0.10","66.40"
"","finn9028","election day cards-2pages (1).pdf","11/3/18 11:39 AM","100","-5.00","66.50"
"","finn9028","Microsoft Word - Lexique 10-30.docx","10/30/18 12:07 PM","2","-0.10","71.50"
"","finn9028","Microsoft Word - Article de Yasmine.docx","10/25/18 11:57 AM","1","-0.05","71.60"
"","finn9028","calendar.pdf","10/19/18 6:57 PM","3","-0.15","71.65"
"","finn9028","P/F Preproduction","10/19/18 6:57 PM","3","-0.15","71.80"
"","finn9028","Microsoft Word - Article 7 questions.docx","10/18/18 11:57 AM","1","-0.05","71.95"
"","finn9028","HHvolunteers.pdf","10/12/18 1:09 PM","4","-0.20","72.00"
"","finn9028","Microsoft Word - SCENE BREAKDOWN SHEET- JAMM 475 .docx","10/7/18 3:35 PM","8","-0.40","72.20"
"","finn9028","Microsoft Word - All About Stars.docx","10/3/18 8:54 PM","2","-0.10","72.60"
"","finn9028","Microsoft Word - Analysis 1 Man with a Movie Camera.docx","10/3/18 6:52 PM","2","-0.10","72.70"
"","finn9028","PASS-FAIL-LOCKED.pdf","10/2/18 4:20 PM","5","-0.25","72.80"
"","finn9028","PASS-FAIL-LOCKED.pdf","10/2/18 4:19 PM","15","-0.75","73.05"
"","finn9028","Le lexique.pdf","9/27/18 12:19 PM","4","-0.20","73.80"
"","finn9028","Microsoft Word - article 4 et 5 questions.docx","9/27/18 12:18 PM","1","-0.05","74.00"
"","finn9028","Article de Presse (Tessa).pdf","9/26/18 4:21 PM","2","-0.10","74.05"
"","finn9028","Presse 4 (Emily) questions.pdf","9/26/18 4:21 PM","1","-0.05","74.15"
"","finn9028","presse 4 (Emily).pdf","9/26/18 4:21 PM","2","-0.10","74.20"
"","finn9028","Microsoft Word - Finney_Field Fellow Agreement.docx","9/26/18 4:21 PM","3","-0.15","74.30"
"","finn9028","Microsoft Word - Finney_Field Fellow Agreement.docx","9/20/18 2:49 PM","1","-0.05","74.45"
"","finn9028","Microsoft Word - 103 Lab #2 Scope of the Universe.docx","9/19/18 4:51 PM","2","-0.10","74.50"
"","finn9028","Microsoft Word - Spectroscopy.docx","9/19/18 4:51 PM","1","-0.05","74.60"
"","finn9028","PASS-FAIL","9/18/18 4:20 PM","4","-0.20","74.65"
"","finn9028","Microsoft Word - 308 Article 2 questions.docx","9/11/18 12:03 PM","1","-0.05","74.85"
"","finn9028","Microsoft Word - 308 Article 2 questions.docx","9/11/18 12:01 PM","1","-0.05","74.90"
"","finn9028","Microsoft Word - Article 2 questions.docx","9/11/18 12:01 PM","1","-0.05","74.95"
"","finn9028","Microsoft Word - Paper 1 Cutting Edge & Blink of an Eye.docx","9/5/18 6:52 PM","4","-0.20","75.00"
"","finn9028","Microsoft Word - Scope of the Universe Lab.docx","9/5/18 6:08 PM","1","-0.05","75.20"
"","finn9028","Astro HW scratchpad","9/5/18 6:08 PM","1","-0.05","75.25"
"","finn9028","Order-63581813","9/4/18 3:43 PM","1","-0.05","75.30"
"","finn9028","May 2018 Savings.pdf","9/4/18 3:43 PM","2","-0.10","75.35"
"","finn9028","June 2018 Savings.pdf","9/4/18 3:43 PM","2","-0.10","75.45"
"","finn9028","July 2018 Savings.pdf","9/4/18 3:43 PM","2","-0.10","75.55"
"","finn9028","August 2018 Savings.pdf","9/4/18 3:42 PM","2","-0.10","75.65"
"","finn9028","May 2018 Checking.pdf","9/4/18 3:41 PM","2","-0.10","75.75"
"","finn9028","June 2018 Checking.pdf","9/4/18 3:40 PM","2","-0.10","75.85"
"","finn9028","July 2018 Checking.pdf","9/4/18 3:40 PM","2","-0.10","75.95"
"","finn9028","August 2018 Checking.pdf","9/4/18 3:40 PM","2","-0.10","76.05"
"","finn9028","Microsoft Word - ScriptTreatment.docx","9/4/18 3:32 PM","1","-0.05","76.15"
"","finn9028","Microsoft Word - FTV Knowledge Test.docx","8/28/18 11:55 AM","7","-0.35","76.20"
"","finn9028","La conversation.pdf","8/28/18 11:54 AM","2","-0.10","76.55"
"","finn9028","Argumenter (vocabulaire 1)","8/28/18 11:54 AM","2","-0.10","76.65"
"","finn9028","Argumenter-- activit?s .pdf","8/28/18 11:54 AM","1","-0.05","76.75"
"","finn9028","Argumenter-- subjonctif (vocabulaire-grammaire 3).pdf","8/28/18 11:54 AM","1","-0.05","76.80"
"","finn9028","Expressions pour la conversation (vocabulaire 2)","8/28/18 11:54 AM","1","-0.05","76.85"
"","finn9028","Exprimer son opinion (vocabulaire 4)","8/28/18 11:53 AM","2","-0.10","76.90"
"","finn9028","Deposit: automatic term increase: 201810","7/24/18 6:03 PM","0","12.50","77.00"
"","finn9028","IMG_0047.pdf","5/11/18 5:16 PM","1","-1.00","64.50"
"","finn9028","Chegg - Packing Slip and Return Label.pdf","5/11/18 5:10 PM","2","-2.00","65.50"
"","finn9028","Untitled","5/11/18 5:06 PM","1","-1.00","67.50"
"","finn9028","The Parting Glass Quartet.pdf","5/4/18 12:59 PM","5","-0.25","68.50"
"","finn9028","Member Dues.pdf","5/4/18 12:54 PM","1","-0.05","68.75"
"","finn9028","WF Checking Statement 4/18/18","5/4/18 12:48 PM","2","-0.10","68.80"
"","finn9028","WF Checking Statement 3/19/18","5/4/18 12:48 PM","2","-0.10","68.90"
"","finn9028","WF Checking Statement 2/20/18","5/4/18 12:47 PM","2","-0.10","69.00"
"","finn9028","WF Checking Statement 1/19/18","5/4/18 12:47 PM","2","-0.10","69.10"
"","finn9028","WF Checking Statement 12/19/17","5/4/18 12:47 PM","2","-0.10","69.20"
"","finn9028","WF Checking Statement 11/17/17","5/4/18 12:47 PM","2","-0.10","69.30"
"","finn9028","WF Checking Statement 10/19/17","5/4/18 12:47 PM","4","-0.20","69.40"
"","finn9028","WF Checking Statement 9/20/17","5/4/18 12:47 PM","2","-0.10","69.60"
"","finn9028","WF Checking Statement 8/17/17","5/4/18 12:47 PM","2","-0.10","69.70"
"","finn9028","WF Business Savings Statement 12/31/17","5/4/18 12:36 PM","2","-0.10","69.80"
"","finn9028","WF Business Savings Statement 11/30/17","5/4/18 12:35 PM","2","-0.10","69.90"
"","finn9028","WF Business Savings Statement 10/31/17","5/4/18 12:35 PM","2","-0.10","70.00"
"","finn9028","WF Business Savings Statement 9/30/17","5/4/18 12:35 PM","2","-0.10","70.10"
"","finn9028","WF Business Savings Statement 8/31/17","5/4/18 12:35 PM","2","-0.10","70.20"
"","finn9028","WF Business Savings Statement 4/30/18","5/4/18 12:35 PM","2","-0.10","70.30"
"","finn9028","WF Business Savings Statement 3/31/18","5/4/18 12:34 PM","2","-0.10","70.40"
"","finn9028","WF Business Savings Statement 2/28/18","5/4/18 12:34 PM","2","-0.10","70.50"
"","finn9028","WF Business Savings Statement 1/31/18","5/4/18 12:34 PM","2","-0.10","70.60"
"","finn9028","PayPal Statement 6/1/2017-5/1/2018","5/4/18 12:33 PM","3","-0.15","70.70"
"","finn9028","Chapter Ledger.pdf","5/4/18 12:31 PM","4","-0.20","70.85"
"","finn9028","Member Dues.pdf","5/4/18 12:30 PM","1","-0.05","71.05"
"","finn9028","Yearly Report.pdf","5/4/18 12:30 PM","1","-0.05","71.10"
"","finn9028","Chapter Financial Audit Workbook.pdf","5/4/18 12:29 PM","2","-0.10","71.15"
"","finn9028","Chapter Financial Audit Workbook.pdf","5/4/18 12:28 PM","3","-0.15","71.25"
"","finn9028","Microsoft Word - French final.docx","5/4/18 12:25 PM","1","-0.05","71.40"
"","finn9028","Chapter Financial Audit Workbook.pdf","5/4/18 12:23 PM","2","-0.10","71.45"
"","finn9028","ISSA Membership.png","5/1/18 1:53 PM","1","-0.05","71.55"
"","finn9028","ISSA Membership.png","5/1/18 1:48 PM","1","-0.05","71.60"
"","finn9028","Microsoft Word - Hoffbuhr statements 2018","5/1/18 1:48 PM","2","-0.10","71.65"
"","finn9028","Academic Transcript.pdf","5/1/18 1:48 PM","4","-0.20","71.75"
"","finn9028","Hoffbuhr.pdf","5/1/18 1:48 PM","1","-0.05","71.95"
"","finn9028","Microsoft Word - Dissertation 2.docx","4/27/18 11:35 AM","2","-0.10","72.00"
"","finn9028","Baby Jane.pdf","4/24/18 3:50 PM","1","-0.05","72.10"
"","finn9028","Spectacles of Shame.pdf","4/24/18 3:50 PM","8","-0.40","72.15"
"","finn9028","Anxious Displacements.pdf","4/24/18 3:49 PM","9","-0.45","72.55"
"","finn9028","Sexuality and Teen Television.pdf","4/24/18 3:49 PM","8","-0.40","73.00"
"","finn9028","That Magic Box Lies.pdf","4/24/18 3:48 PM","8","-0.40","73.40"
"","finn9028","Microsoft Word - Page Numbers.docx","4/24/18 3:11 PM","108","-5.40","73.80"
"","finn9028","Microsoft Word - Page Numbers.docx","4/24/18 3:04 PM","4","-0.20","79.20"
"","finn9028","Microsoft Word - Page Numbers.docx","4/24/18 3:04 PM","4","-0.20","79.40"
"","finn9028","Microsoft Word - Page Numbers.docx","4/24/18 3:01 PM","108","-5.40","79.60"
"","finn9028","Final Business Plan.pdf","4/24/18 2:54 PM","2","-0.10","85.00"
"","finn9028","Final Business Plan.pdf","4/24/18 2:54 PM","2","-0.10","85.10"
"","finn9028","Microsoft Word - Page Numbers.docx","4/24/18 2:52 PM","1","-0.05","85.20"
"","finn9028","Microsoft Word - Page Numbers.docx","4/24/18 2:50 PM","1","-0.05","85.25"
"","finn9028","Microsoft Word - Ryan Murphy Final.docx","4/24/18 2:21 PM","21","-1.05","85.30"
"","finn9028","December correction","4/22/18 6:00 PM","2","-0.10","86.35"
"","finn9028","Minutes","4/22/18 5:55 PM","12","-0.60","86.45"
"","finn9028","Advertising breakdown - Sheet1.pdf","4/22/18 5:30 PM","4","-0.20","87.05"
"","finn9028","Advertising breakdown","4/22/18 5:22 PM","4","-0.20","87.25"
"","finn9028","Startup Budget","4/22/18 5:22 PM","2","-0.10","87.45"
"","finn9028","Year 1 Budget","4/22/18 5:22 PM","28","-1.40","87.55"
"","finn9028","Years 2-4 Budget","4/22/18 5:22 PM","6","-0.30","88.95"
"","finn9028","LLC Cert org 2015 FILL copy","4/20/18 1:52 PM","6","-0.30","89.25"
"","finn9028","LLC Cert org 2015 FILL copy","4/20/18 1:52 PM","5","-0.25","89.55"
"","finn9028","Hiroshima.pdf","4/20/18 12:27 PM","8","-0.40","89.80"
"","finn9028","Hiroshima.pdf","4/20/18 12:25 PM","14","-0.70","90.20"
"","finn9028","Mom-tickets","4/20/18 12:24 PM","2","-0.10","90.90"
"","finn9028","Deposit: automatic term increase: 201800","4/17/18 1:02 PM","0","12.50","91.00"
"","finn9028","Platform Productions First-year Budget (DRAFT).pdf","4/16/18 1:03 PM","6","-0.30","78.50"
"","finn9028","Platform Productions Startup Budget - Budget.pdf","4/16/18 12:50 PM","1","-0.05","78.80"
"","finn9028","Microsoft Word - Briggs questions 4-5.docx","4/2/18 1:20 PM","1","-0.05","78.85"
"","finn9028","img023.jpg","3/27/18 2:40 PM","1","-0.05","78.90"
"","finn9028","Untitled","3/19/18 1:13 PM","1","-0.05","78.95"
"","finn9028","Inbox ? loganfinney27@gmail.com","3/8/18 7:51 PM","1","-0.05","79.00"
"","finn9028","HonorsPoints.pdf","3/6/18 5:22 PM","1","-0.05","79.05"
"","finn9028","Microsoft Word - Jazz ISEM paper","3/1/18 5:18 PM","5","-0.25","79.10"
"","finn9028","Microsoft Word - 378 Proposal.docx","3/1/18 1:05 PM","1","-0.05","79.35"
"","finn9028","Microsoft Word - 275-S18 Lab #8 TAs.docx","2/28/18 12:24 PM","1","-0.05","79.40"
"","finn9028","footage-log.pdf","2/28/18 12:24 PM","1","-0.05","79.45"
"","finn9028","Microsoft Word - 472-4.docx","2/26/18 1:11 PM","4","-0.20","79.50"
"","finn9028","Microsoft Word - 378 Discussion.docx","2/22/18 1:06 PM","3","-0.15","79.70"
"","finn9028","Microsoft Word - WestchesterHispano.docx","2/21/18 12:59 PM","4","-0.20","79.85"
"","finn9028","IRP Schedule.pdf","2/21/18 12:21 PM","1","-0.05","80.05"
"","finn9028","Growing microbes or cocultures in broth","2/21/18 12:21 PM","1","-0.05","80.10"
"","finn9028","P Adjusting the concentrations of two cell cultures to match one another","2/21/18 12:21 PM","1","-0.05","80.15"
"","finn9028","excuse letter","2/16/18 6:28 PM","1","-0.05","80.20"
"","finn9028","Microsoft Word - 443 Study questions 5-7.docx","2/16/18 1:10 PM","1","-0.05","80.25"
"","finn9028","Re: Logan Strengths and Weaknesses - Google Docs","2/16/18 12:55 PM","1","-0.05","80.30"
"","finn9028","Microsoft Word - dada et surrealisme.docx","2/16/18 11:27 AM","1","-0.05","80.35"
"","finn9028","IRP cover page","2/14/18 1:08 PM","1","-0.05","80.40"
"","finn9028","Microsoft Word - Document1","2/14/18 1:00 PM","1","-0.05","80.45"
"","finn9028","Microsoft Word - Document1","2/14/18 12:57 PM","1","-0.05","80.50"
"","finn9028","Microsoft Word - 472-3 Relationship.docx","2/12/18 12:32 PM","1","-0.05","80.55"
"","finn9028","Microsoft Word - 443 Study questions 2-4.docx","1/29/18 11:36 AM","1","-0.05","80.60"
"","finn9028","Microsoft Word - 472 Instagram Exploration.docx","1/29/18 11:36 AM","1","-0.05","80.65"
"","finn9028","MWSavings_Statement_December_2017.pdf","1/26/18 6:13 PM","1","-0.05","80.70"
"","finn9028","2018_Primary_Absentee_Request_Form_Fillable.pdf","1/24/18 12:47 PM","1","-0.05","80.75"
"","finn9028","Report Form for PRP.pdf","1/24/18 12:32 PM","4","-0.20","80.80"
"","finn9028","PRP Handout Spring 2018.pdf","1/24/18 12:31 PM","5","-0.25","81.00"
"","finn9028","Untitled","1/19/18 12:38 PM","2","-0.10","81.25"
"","finn9028","Deposit: automatic term increase: 201720","12/14/17 1:04 PM","0","12.50","81.35"
"","finn9028","Microsoft Word - Stats HON VMB project.docx","12/6/17 12:35 PM","14","-0.70","68.85"
"","finn9028","Microsoft Word - Arle composition.docx","12/5/17 10:23 AM","1","-0.05","69.55"
"","finn9028","Microsoft Word - POLS 205 Consitutional convention.docx","11/27/17 3:22 PM","3","-0.15","69.60"
"","finn9028","Microsoft Word - Arle composition.docx","11/16/17 10:20 AM","1","-0.05","69.75"
"","finn9028","fpdf.pdf","11/14/17 4:12 PM","4","-0.20","69.80"
"","finn9028","ChngofCurr (1).pdf","11/3/17 12:00 PM","1","-0.05","70.00"
"","finn9028","ARLE-questions","11/2/17 10:21 AM","7","-0.35","70.05"
"","finn9028","equipment-checkout-form.pdf","10/26/17 4:14 PM","2","-0.10","70.40"
"","finn9028","Le grand jeu-Anansi-pr.rel.-tout","10/24/17 12:02 PM","1","-0.05","70.50"
"","finn9028","Script 275 Single Cam Interview.pdf","10/17/17 1:51 PM","2","-0.10","70.55"
"","finn9028","request.pdf","10/16/17 11:18 AM","4","-0.20","70.65"
"","finn9028","request.pdf","10/16/17 11:18 AM","3","-0.15","70.85"
"","finn9028","Microsoft Word - Peau d'Ane narration.docx","10/9/17 10:26 AM","4","-0.20","71.00"
"","finn9028","WSU blackbear tickets.pdf","10/5/17 3:24 PM","2","-0.10","71.20"
"","finn9028","Microsoft Word - Peau d'Ane narration.docx","10/4/17 10:28 AM","3","-0.15","71.30"
"","finn9028","StudentConsent.pdf","9/27/17 7:10 PM","1","-0.05","71.45"
"","finn9028","Course Planning Form Instruction.pdf","9/27/17 7:10 PM","1","-0.05","71.50"
"","finn9028","UI Course Planning Form.pdf","9/27/17 7:10 PM","3","-0.15","71.55"
"","finn9028","USAC Course & Tour Registration .pdf","9/27/17 7:10 PM","1","-0.05","71.70"
"","finn9028","Microsoft Word - JAMM Homework 1.docx","9/19/17 1:11 PM","1","-0.05","71.75"
"","finn9028","Microsoft Word - Par ?crit 2.docx","9/13/17 10:29 AM","1","-0.05","71.80"
"","finn9028","Microsoft Word - Par ?crit 1.docx","9/12/17 10:21 AM","1","-0.05","71.85"
"","finn9028","Microsoft Word - French composition 1.docx","9/12/17 10:21 AM","1","-0.05","71.90"
"","finn9028","request.pdf","9/10/17 6:58 PM","2","-0.10","71.95"
"","finn9028","Deposit: automatic term increase: 201710","7/26/17 1:03 PM","0","12.50","72.05"
"","finn9028","Chegg - Packing Slip and Return Label","5/10/17 6:42 PM","2","-0.10","59.55"
"","finn9028","Amazon.com - Your Textbook Rentals","5/10/17 6:41 PM","2","-0.10","59.65"
"","finn9028","attn showers","5/10/17 5:28 PM","4","-0.20","59.75"
"","finn9028","Microsoft Word - POLS 209 Sex Ed paper.docx","5/5/17 9:54 AM","5","-0.25","59.95"
"","finn9028","order_history.pdf","4/28/17 4:41 PM","2","-0.10","60.20"
"","finn9028","Hoffbuhr statements","4/28/17 1:57 AM","2","-0.10","60.30"
"","finn9028","Hoffbuhr statements","4/28/17 1:53 AM","1","-0.05","60.40"
"","finn9028","Transcript Official.pdf","4/27/17 2:33 PM","1","-0.05","60.45"
"","finn9028","ISSA membership Screen Shot","4/27/17 2:32 PM","2","-0.10","60.50"
"","finn9028","request.pdf","4/26/17 3:35 PM","1","-0.05","60.60"
"","finn9028","request.pdf","4/26/17 3:34 PM","1","-0.05","60.65"
"","finn9028","Microsoft Word - Composition 2.docx","4/26/17 12:12 PM","1","-0.05","60.70"
"","finn9028","request.pdf","4/19/17 5:06 PM","1","-0.05","60.75"
"","finn9028","request.pdf","4/19/17 3:28 PM","2","-0.10","60.80"
"","finn9028","Microsoft Word - composition 3.docx","4/19/17 12:03 PM","1","-0.05","60.90"
"","finn9028","Microsoft Word - composition 3","4/18/17 10:30 AM","1","-0.05","60.95"
"","finn9028","Deposit: automatic term increase: 201700","4/17/17 1:01 PM","0","12.50","61.00"
"","finn9028","Letter of Rec Jon","4/13/17 10:21 AM","4","-0.20","48.50"
"","finn9028","Duplicate Education Cards","4/13/17 10:12 AM","1","-0.05","48.70"
"","finn9028","4 Bonner Sportsmen","4/12/17 5:36 PM","4","-0.20","48.75"
"","finn9028","hunting liscence.jpg","4/12/17 5:36 PM","1","-0.05","48.95"
"","finn9028","McFarland","4/7/17 4:45 PM","1","-0.05","49.00"
"","finn9028","Ponderay Rotary","4/7/17 3:43 PM","1","-0.05","49.05"
"","finn9028","Letter of Rec Nelson.pdf","4/7/17 1:35 PM","4","-0.20","49.10"
"","finn9028","Letter of Rec Jon","4/7/17 3:56 AM","4","-0.20","49.30"
"","finn9028","Letter of Rec Yoder","4/7/17 3:56 AM","4","-0.20","49.50"
"","finn9028","Academic Transcript","4/7/17 3:56 AM","8","-0.40","49.70"
"","finn9028","Microsoft Word - Resume.docx","4/7/17 3:55 AM","4","-0.20","50.10"
"","finn9028","Common scholarship essay 2017","4/7/17 3:55 AM","3","-0.15","50.30"
"","finn9028","Common App 2017","4/7/17 3:55 AM","3","-0.15","50.45"
"","finn9028","Sandpoint Rotary","4/7/17 3:54 AM","1","-0.05","50.60"
"","finn9028","CAL","4/7/17 3:54 AM","1","-0.05","50.65"
"","finn9028","Application Form","4/3/17 11:49 AM","6","-0.30","50.70"
"","finn9028","Microsoft Word - Expressions Qu?b?coises.docx","4/3/17 11:49 AM","1","-0.05","51.00"
"","finn9028","dick buttons.pdf","4/2/17 4:53 PM","1","-0.05","51.05"
"","finn9028","Letter of Rec Jon","4/2/17 4:51 PM","2","-0.10","51.10"
"","finn9028","NLI attachment","4/2/17 4:51 PM","2","-0.10","51.20"
"","finn9028","2 NLI","4/2/17 4:51 PM","2","-0.10","51.30"
"","finn9028","1 Quilt Guild","3/29/17 7:23 PM","1","-0.05","51.40"
"","finn9028","Academic Transcript","3/29/17 7:23 PM","2","-0.10","51.45"
"","finn9028","Quilt Guild attachment","3/29/17 7:23 PM","1","-0.05","51.55"
"","finn9028","Letter of Rec Jon","3/29/17 7:23 PM","2","-0.10","51.60"
"","finn9028","Microsoft Word - Sheriff Report.docx","3/29/17 2:31 AM","1","-0.05","51.70"
"","finn9028","Microsoft Word - Sheriff Report.docx","3/29/17 2:28 AM","1","-0.05","51.75"
"","finn9028","request.pdf","3/27/17 3:31 PM","1","-0.05","51.80"
"","finn9028","Microsoft Word - Composition 2.docx","3/27/17 11:17 AM","1","-0.05","51.85"
"","finn9028","*McFarland","3/25/17 4:20 PM","1","-0.05","51.90"
"","finn9028","Microsoft Word - LGBTQ+ News Roundup","3/22/17 3:27 PM","1","-0.05","51.95"
"","finn9028","gonz4262@vandals.uidaho.edu: Microsoft Word - 8_EnergyLabFA15.docx","3/7/17 5:59 PM","9","-0.45","52.00"
"","finn9028","gonz4262@vandals.uidaho.edu: Microsoft Word - 7_MembraneLabSP15.docx","3/7/17 5:58 PM","8","-0.40","52.45"
"","finn9028","gonz4262@vandals.uidaho.edu: ACFrOgAFTlRLEutDnnuOZ3pY...0z24gdQJV3z5fKC04TDgdRw=","3/7/17 5:58 PM","1","-0.05","52.85"
"","finn9028","Untitled","3/7/17 5:58 PM","1","-0.05","52.90"
"","finn9028","Untitled","3/7/17 12:32 AM","2","-0.10","52.95"
"","finn9028","Microsoft Word - Document1","3/6/17 4:56 PM","1","-0.05","53.05"
"","finn9028","request.pdf","3/1/17 3:50 PM","1","-0.05","53.10"
"","finn9028","request.pdf","2/22/17 3:27 PM","1","-0.05","53.15"
"","finn9028","composition 1","2/17/17 2:33 AM","1","-0.05","53.20"
"","finn9028","request.pdf","2/15/17 3:27 PM","1","-0.05","53.25"
"","finn9028","ACFrOgDM6oQIn5GcjIY9w0yhj-FQ3pCY9Ebe_KkqAkkFiaJmh2i_j49LBXrErKcLzc1zCtCg0D_syIhOg6eayCJ5tpOIQ2Rq_g9jsjA5dq8OT0LiEyQ7R2U5bwkPHp8=","2/10/17 4:35 PM","1","-1.00","53.30"
"","finn9028","Microsoft Word - Document1","2/8/17 4:36 PM","1","-0.05","54.30"
"","finn9028","request.pdf","2/8/17 3:22 PM","1","-0.05","54.35"
"","finn9028","request.pdf","2/6/17 3:28 PM","1","-0.05","54.40"
"","finn9028","composition 1","2/2/17 12:02 AM","1","-0.05","54.45"
"","finn9028","HW2 Article without lede","2/1/17 2:07 PM","1","-0.05","54.50"
"","finn9028","Spring Schedule - Sheet1-4.pdf","2/1/17 2:01 PM","1","-0.05","54.55"
"","finn9028","HW2 Article without lede","2/1/17 2:01 PM","3","-0.15","54.60"
"","finn9028","Spring Schedule - Sheet1-3.pdf","1/31/17 6:03 PM","1","-0.05","54.75"
"","finn9028","gonz4262@vandals.uidaho.edu: Writing Project 1 Draft 3 - Google Docs","1/27/17 12:43 AM","4","-0.20","54.80"
"","finn9028","Blackboard Learn","1/27/17 12:43 AM","1","-0.05","55.00"
"","finn9028","Microsoft Word - Yeast Exp 1 Lab report Bblearn","1/25/17 7:39 PM","2","-0.10","55.05"
"","finn9028","Spring Schedule","1/25/17 7:38 PM","1","-0.05","55.15"
"","finn9028","Yeast Exp 1 Lab report Bblearn.docx","1/25/17 7:36 PM","6","-0.30","55.20"
"","finn9028","Untitled","1/25/17 7:36 PM","3","-0.15","55.50"
"","finn9028","Yeast Exp 1 Lab report Bblearn.docx","1/25/17 6:42 PM","1","-0.05","55.65"
"","finn9028","Microsoft Word - Document1","1/23/17 5:14 PM","1","-0.05","55.70"
"","finn9028","wk 3-4 201 spring 2017(1).pdf","1/23/17 2:10 PM","1","-0.05","55.75"
"","finn9028","Week","1/20/17 2:56 PM","1","-0.05","55.80"
"","finn9028","Heather Scott article & writeup","1/20/17 2:56 PM","1","-0.05","55.85"
"","finn9028","account ledger blank-Sheet1","1/17/17 12:27 AM","1","-0.05","55.90"
"","finn9028","JAMM 122 (Spring)","1/17/17 12:27 AM","3","-0.15","55.95"
"","finn9028","Syllabus_PolBehavior_FINAL_SPRING2017.pdf","1/17/17 12:27 AM","4","-0.20","56.10"
"","finn9028","LF Week Schedule","1/17/17 12:27 AM","1","-0.05","56.30"
"","finn9028","ReturnLabel.gif","1/11/17 6:37 PM","1","-0.05","56.35"
"","finn9028","Final.pdf","12/15/16 11:40 AM","3","-0.15","56.40"
"","finn9028","Ask about my Which US City Should I Live In? top result:","12/15/16 10:41 AM","1","-0.05","56.55"
