Document ID,Document Name,Line Item,View Link
e169573b7208a839_503fe5ae979b12b1,special-programs.pdf,Forest Utilization Research; Geological Survey; Museum of Natural History; Scholarships and Grants; Small Business Development Centers; TechHelp,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=e169573b7208a839_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
1c9e38bcaf20ce1d_503fe5ae979b12b1,information-technology-services_office-of.pdf,Enterprise Security; Critical Infrastructure; Federal E-CORE Grant; ITS Consolidation of DHW,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=1c9e38bcaf20ce1d_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
bbe0b656bc7c6108_503fe5ae979b12b1,agriculture_department-of.pdf,"Repair, Replacement, or Alteration Costs",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=bbe0b656bc7c6108_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
36e040d80b2c144d_503fe5ae979b12b1,water-resources_department-of.pdf,"Repair, Replacement, or Alteration Costs; Vehicle Replacement Items Only; ITS Recommended Replacement Items Only; Aquifer Planning and Management Fund Cash Transfer; Repair, Replacement, or Alteration Costs",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=36e040d80b2c144d_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
c34cafa9755117d8_503fe5ae979b12b1,industrial-commission.pdf,Maintenance Contract and Service Level Agreement; Certified Idaho Workers' Compensation Specialist Program and Annual Seminar; Peace Officer and Detention Officer Temporary Disability Program; ITS Recommended Replacement Items Only,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=c34cafa9755117d8_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
58c4e0b6da70d85f_503fe5ae979b12b1,correction_department-of.pdf,"Repair, Replacement, or Alteration Costs; ITS Recommended Replacement; Hepatitis C Treatment - Reappropriation",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=58c4e0b6da70d85f_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
66edb3f22c2cf8a9_503fe5ae979b12b1,public-utilities-commission.pdf,"Commissioner Change in Compensation; Repair, Replacement, or Alteration Costs; Office Furniture Replacement - replace 9 office chairs as needed; ITS Recommended Replacement Items Only",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=66edb3f22c2cf8a9_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
929a937bb6dc5398_503fe5ae979b12b1,stem-action-center.pdf,Line Items,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=929a937bb6dc5398_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
5c402f33790fec18_503fe5ae979b12b1,labor_department-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=5c402f33790fec18_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
b658a713c67d5ab8_503fe5ae979b12b1,police_idaho-state.pdf,Commissioned Pay Plan Legislation,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=b658a713c67d5ab8_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
68436b466b55015c_503fe5ae979b12b1,tax-commission-idaho-state.pdf,"System Automation; PC Appropriation from Dedicated Funds; Repair, Replacement, or Alteration Costs; Vehicle Replacement Items Only; ITS Recommended Replacement Items Only; Increase in Appropriation for Property Tax Education",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=68436b466b55015c_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
3d4b435d8bf02643_503fe5ae979b12b1,Public-schools.pdf,"1 Transportation; 2 Border Contracts; 3 Exceptional Contracts/Tuition Equivalents; 4 Salary-Based Apportionment; 5 State Paid Employee Benefits; 6 Career Ladder Salaries; 7 Career Ladder Benefits; 8 Idaho Digital Learning Academy; 9 Idaho Safe and Drug-Free Schools; 10 Math and Science Requirement; 11 Advanced Opportunities; 12 National Board Teacher Certification; 13 Charter School Facilities; 14 Continuous Improvement Plans and Training; 15 Literacy Proficiency; 16 Academic and College/Career Advisors and Mentors; 18 Technology (Classroom, WiFi, LMS); 19 Student Achievement Assessments; 20 Professional Development; 21 Content and Curriculum; 22 Services for the Deaf and the Blind (Campus); 23 Services for the Deaf and the Blind (Outreach); 24 Federal Funds for School Districts (Excluding IESDB); 25 Operational (Discretionary); 26 Health Insurance; 27 Special Education Block Grants",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=3d4b435d8bf02643_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
3c667c44ee0c3b57_503fe5ae979b12b1,community-colleges.pdf,OSBE Canvas LMS; Canvas LMS; Canvas LMS Transfer to OSBE; OSBE Canvas LMS,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=3c667c44ee0c3b57_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
1697511fec991649_503fe5ae979b12b1,state-controller_office-of-the.pdf,ADM Insights Budget Law Exemption; CSC Reappropriation Budget Law Exemption,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=1697511fec991649_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
8d9d7942fa223f17_503fe5ae979b12b1,state-public-defender.pdf,Constitutional Workload Standard Positions; ITS Recommended Replacement Items Only; ITS Recommended Enhancements from Budget Packet,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=8d9d7942fa223f17_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
694cd5728e83a522_503fe5ae979b12b1,occupational-and-professional-licenses-division-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=694cd5728e83a522_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
6def69ecad801432_503fe5ae979b12b1,drug-policy_office-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=6def69ecad801432_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
aae99372bd4c4b6e_503fe5ae979b12b1,pardons-and-parole_commission-of.pdf,"Repair, Replacement, or Alteration Costs; ITS Recommended Replacement",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=aae99372bd4c4b6e_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
a2605430619be750_503fe5ae979b12b1,enviromental-quality_department-of.pdf,Triumph Mine Remediation Work,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=a2605430619be750_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
18ab38a47122682e_503fe5ae979b12b1,racing-commission.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=18ab38a47122682e_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
3e8a524eea4828cc_503fe5ae979b12b1,parks-and-recreation_department-of.pdf,Increase Fractional FTPs to 1.0; Personnel & OE for Salmon Acquisition and Agency Objectives; Seasonal Trail Ranger Enhancement; Excavator with Trail Brushing Attachment; Federal LWCF Grant Awards; Federal Grant Awards - Lake Cascade; Federal Grant Awards - Billingsley Creek; Farragut Brig Entrance Roundabout; RV Camping Acquisition and Development; Budget Law Exemptions/Other Adjustments Pass-through Grant Reappropriation Authority,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=3e8a524eea4828cc_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
743718121648e7ea_503fe5ae979b12b1,Summary-of-Holdback-Calculations-for-FY2026.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=743718121648e7ea_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
fe984b958ebb6548_503fe5ae979b12b1,agricultural-research-and-extension.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=fe984b958ebb6548_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
fdcebc71a5446c9_503fe5ae979b12b1,performance-evaluations_office-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=fdcebc71a5446c9_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
e093f905d0bc0b94_503fe5ae979b12b1,public-charter-school-commission.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=e093f905d0bc0b94_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
2c3e92953c1af50c_503fe5ae979b12b1,board-of-tax-appeals.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=2c3e92953c1af50c_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
206697d4edfa9b0a_503fe5ae979b12b1,financial-management_division-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=206697d4edfa9b0a_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
f4efe6904596745e_503fe5ae979b12b1,uniform-state-laws_commission-on.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=f4efe6904596745e_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
23b35a7fcc5c9fcf_503fe5ae979b12b1,department-of-education.pdf,Idaho Career Ready Student Fund Interest; Driver Education Reimbursement and Grant Program; School Bus Camera Fund Ongoing Increase; Farm to School Federal Grant; Child Nutrition Program Technology Innovation Federal Grant,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=23b35a7fcc5c9fcf_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
44effd163f68a4f3_503fe5ae979b12b1,soil-and-water-conservation-commission.pdf,Budget Law Exemptions/Other Adjustments; Miscellaneous Revenue CREP FY27 Funding; ITS Recommended Replacement Items Only,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=44effd163f68a4f3_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
b24db79daea0d875_503fe5ae979b12b1,liquor-division-idaho-state.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=b24db79daea0d875_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
57d7181e67ce22a0_503fe5ae979b12b1,arts_idaho-commission-on-the.pdf,ITS Recommended Replacement Items Only,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=57d7181e67ce22a0_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
885c5ecef7251da0_503fe5ae979b12b1,lands_department-of.pdf,"IDL is requesting a net-zero personnel authority fund shift of $160,000 from the Abandoned Mined Lands (AML) dedicated fund to the Navigable Waterways dedicated fund in response to HB226 which restricts the use of AML funds.",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=885c5ecef7251da0_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
4b936d2671bf812b_503fe5ae979b12b1,species-conservation_office-of.pdf,Federal Fund 34800- Appropriation Increase,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=4b936d2671bf812b_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
7c8743ee8819b81b_503fe5ae979b12b1,lieutenant-governor-office-of-the.pdf,ITS Recommended Replacement Items Only; Budget Law Exemptions/Other Adjustments,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=7c8743ee8819b81b_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
28c03569b6ce62a8_503fe5ae979b12b1,brand-board.pdf,"12.55 Repair, Replacement, or Alteration Costs",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=28c03569b6ce62a8_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
9060cdc6a159fd87_503fe5ae979b12b1,secretary-of-state_office-of-the.pdf,Voter Pamphlet & Guide,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=9060cdc6a159fd87_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
e0401b8caa8a5df2_503fe5ae979b12b1,health-programs.pdf,12.01; 12.02; 12.04; 12.01,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=e0401b8caa8a5df2_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
bd93620df49b6401_503fe5ae979b12b1,energy-and-mineral-resources_office-of.pdf,"Line Item #1 FY27; Line item # 2 &1 ($79,700 PC, $27,200 OE for Nuclear and $20,600 for fund shift)",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=bd93620df49b6401_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
8f6593db1747c061_503fe5ae979b12b1,public-employee-retirement-system-of-idaho.pdf,"Arrivos Pension Software; COOP Plan/Disaster Recovery; Repair, Replacement, or Alteration Costs; One-Time Replacement Items for Portfolio",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=8f6593db1747c061_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
bb990d2b5d03c2e0_503fe5ae979b12b1,administration_department-of.pdf,Line Items,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=bb990d2b5d03c2e0_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
8dffb609b785c5cc_503fe5ae979b12b1,state-appellate-public-defender.pdf,ITS Recommended Replacement Items Only; Budget Law Exemptions/Other Adjustments,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=8dffb609b785c5cc_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
e1481db9e3d99c59_503fe5ae979b12b1,human-resources_division-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=e1481db9e3d99c59_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
c4147b57a03db2e_503fe5ae979b12b1_0,health-and-welfare-department-of (pages 1 to 302).pdf,Adult Mental Health; Basic Medicaid Plan; Benefit Payments; Children's Mental Health; Community Hospitalization; Coordinated Medicaid Plan; Developmental Disabilities Council; Domestic Violence Council; Early Learning & Development; Emergency Medical Services; Enhanced Medicaid Plan; Expansion Medicaid Plan; Extended Employment Services; Family & Community Partnerships; Foster & Assistance Payments; Health Care Policy Initiatives; Idaho Child Care Program; Indirect Support Services; Laboratory Services; Licensing & Certification; Medicaid Administration & Medical Mgmt; Physical Health Services; Self-Reliance Operations; Southwest Idaho Treatment Center; State Hospital North; State Hospital South; State Hospital West; Substance Abuse Treatment & Prevention; Suicide Prevention & Awareness; Youth Safety & Permanency,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=c4147b57a03db2e_503fe5ae979b12b1_0&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
77d25c649e8c054e_503fe5ae979b12b1,transportation_department-of.pdf,"10-WHEEL SANDER/DUMP TRUCK; PLOW WING, TRUCK MT.; LOADER 1/2 CY, 3/4 CY; ROTARY MOWER; MECHANICAL STREET SWEEPER; 1000 GALLON DEICER TANK",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=77d25c649e8c054e_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
1a37b103097bf8fb_503fe5ae979b12b1,insurance-department-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=1a37b103097bf8fb_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
424bf0072cc9d6c0_503fe5ae979b12b1,lottery-commission-idaho-state.pdf,"Repair, Replacement, or Alteration Costs",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=424bf0072cc9d6c0_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
ae214af9724446c_503fe5ae979b12b1,vocational-rehabilitation.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=ae214af9724446c_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
f42d341580433d8c_503fe5ae979b12b1,endowment-fund-investment-board.docs_.pdf,ITS Recommended Replacement Items Only; Budget Law Exemptions/Other Adjustments,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=f42d341580433d8c_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
622a2d4d7230dcf8_503fe5ae979b12b1,commission-for-libraries.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=622a2d4d7230dcf8_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
8cae6d3e4ea28dc9_503fe5ae979b12b1,commerce_department-of.pdf,Budget Law Exemptions/Other Adjustments,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=8cae6d3e4ea28dc9_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
36e571944ac15cb1_503fe5ae979b12b1,historical-society_idaho-state.pdf,Historical Society Collections and Archives Moving Project; ITS Recommended Replacement Items Only,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=36e571944ac15cb1_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
f0033c8e693d852f_503fe5ae979b12b1,blind-and-visually-impaired_commission-for-the.pdf,"Fund 28800 OE & T&B; Vehicle Replacement Items Only; ITS Recommended Replacement Items Only Hardware Refresh: $18,400",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=f0033c8e693d852f_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
c4147b57a03db2e_503fe5ae979b12b1_2,health-and-welfare-department-of (pages 648 to 947).pdf,PCF Summary Report,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=c4147b57a03db2e_503fe5ae979b12b1_2&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
7668dca88c072048_503fe5ae979b12b1,juvenile-corrections_department-of.pdf,Line Items Backup - (5100/B-8.1),https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=7668dca88c072048_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
70be26163a554d4_503fe5ae979b12b1,Educational-services-for-the-deaf-and-blind.pdf,Career Ladder- Certified and Pupil Service Staff-Campus; School Bus Replacement; Van Replacement and Fleet Optimization; Cottage Staff Positions; Endowment Fund Adjustments,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=70be26163a554d4_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
1d3a97e84b5d156a_503fe5ae979b12b1,health-and-social-services-ombudsman-office-of-the.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=1d3a97e84b5d156a_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
d5259265f0f6a521_503fe5ae979b12b1,governor-office-of.pdf,ITS Recommended Replacement Items Only,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=d5259265f0f6a521_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
1a932762f806fe3c_503fe5ae979b12b1,state-treasurer_office-of-the.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=1a932762f806fe3c_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
7189b08ad95d7103_503fe5ae979b12b1,legislative-services_office-of.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=7189b08ad95d7103_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
b6f914ba68fcc307_503fe5ae979b12b1,fish-and-game_department-of.pdf,"ITS Recommended Licenses and Support; Repair, Replacement, or Alteration Costs; ITS Recommended Replacements; Fisheries Habitat Projects; Fisheries Management Inflationary Costs; Restore Quantity of Temporaries Hired; Fisheries Facility Cost Inflation; Customer Communications Service; Good Neighbor Authority Projects; Wolf Depredation Response and Control",https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=b6f914ba68fcc307_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
8692315b632f6614_503fe5ae979b12b1,workforce-development-council.pdf,11. Line Item & Supp Req,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=8692315b632f6614_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
ee722162b6ebb553_503fe5ae979b12b1,colleges-and-universities.pdf,OSBE Canvas LMS; Risk Management Transfer; Endowment Fund Adjustments; Budget Law Exemptions/Other Adjustments,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=ee722162b6ebb553_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
1e489fb3297cb61e_503fe5ae979b12b1,military-division.pdf,Indirect Cost Recovery Increase,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=1e489fb3297cb61e_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
b8c344acbee87816_503fe5ae979b12b1,aging-commission-on.pdf,--/--,https://journaliststudio.google.com/pinpoint/document-view?collection=503fe5ae979b12b1&docid=b8c344acbee87816_503fe5ae979b12b1&tid=abf95ec57aa3f605&utm_source=extract_data_deep_link
