"Start Time","End Time","Text","Layer ID"
"00;05;14;04","00;05;17;26","and that so that all of thatis part of the Northwest Ordinance.","1"
"00;05;17;26","00;05;20;16","And of course, it gets,","1"
"00;05;20;16","00;05;22;11","codified in the US Constitution.","1"
"00;05;22;11","00;05;25;27","Article four, sectionthree sort of says that, you know,","1"
"00;05;26;06","00;05;29;09","the process for creating new statesand, you know, that that,","1"
"00;05;29;29","00;05;33;25","that these things are set outand the process resides with Congress,","1"
"00;05;33;25","00;05;37;23","which is sort of an interesting partof this thing.","1"
"00;05;37;23","00;05;40;01","That is, I think most people forget","1"
"00;05;40;01","00;05;43;01","because we haven'tcreated a new state in a long time.","1"
"00;05;43;22","00;05;47;12","Is that Congressis the one driving this process?","1"
"00;05;47;14","00;05;50;12","And so the Constitution saysit's Congress","1"
"00;05;50;12","00;05;53;12","and these state legislaturesthat are the ones that are,","1"
"00;05;53;22","00;05;57;06","that are going to have tofigure this out, of course.","1"
"00;06;00;08","00;06;02;02","Territory territories, which","1"
"00;06;02;02","00;06;05;02","is sort of the first part of this process,","1"
"00;06;06;02","00;06;08;09","are directly under the federal government.","1"
"00;06;08;09","00;06;11;09","So they have very few","1"
"00;06;11;27","00;06;13;13","rights.","1"
"00;06;13;13","00;06;14;15","They're not states yet.","1"
"00;06;14;15","00;06;17;27","So there's not all of thisfederal state kinds of division.","1"
"00;06;17;27","00;06;19;12","So territories are like this","1"
"00;06;19;12","00;06;23;08","weird in-between state,and they don't have any senators.","1"
"00;06;23;08","00;06;27;03","They don't have any, representativesin the House.","1"
"00;06;27;04","00;06;30;29","They have territorial delegateswho can have,","1"
"00;06;31;00","00;06;34;00","they can give speeches.","1"
"00;06;34;00","00;06;34;14","They could,","1"
"00;06;34;14","00;06;39;15","you know, lobby other members of Congress,but they have no voting rights.","1"
"00;06;39;20","00;06;42;09","You know,wherever Americans have moved out,","1"
"00;06;42;09","00;06;44;13","you know,as they sort of making their way west,","1"
"00;06;44;13","00;06;47;09","they bring themselves with themand they also bring with them sort","1"
"00;06;47;09","00;06;52;05","of these regional,differences, regional sensibilities.","1"
"00;06;52;21","00;06;56;05","So you do get folks from the Southwho are moving to Oregon","1"
"00;06;56;05","00;06;59;10","and to Idaho, to Washington state,","1"
"00;06;59;10","00;07;02;25","and as they're moving west, you know,through the Oregon Trail and those things,","1"
"00;07;02;27","00;07;06;22","they,want to keep abreast of these issues.","1"
"00;07;06;22","00;07;09;21","So it's always surprising to me.","1"
"00;07;09;21","00;07;16;16","I think it's probably less so now, in mycareer, but it continues to, to sort of,","1"
"00;07;17;29","00;07;20;03","bring home the fact that, you know,","1"
"00;07;20;03","00;07;22;25","the stories that they're reading innewspapers are stories from back East,","1"
"00;07;22;25","00;07;25;10","and they're very interested in BleedingKansas.","1"
"00;07;25;10","00;07;28;28","You know, these fightsthat are happening in the 1850s.","1"
"00;07;29;22","00;07;33;02","They are interested in John Brown'sraid and Harpers Ferry.","1"
"00;07;33;02","00;07;37;26","They're following the news very closelyas best they can, given, you know, the","1"
"00;07;37;26","00;07;41;28","distance and time it took for newspapersto make it west in these stories.","1"
"00;07;41;28","00;07;46;14","But they arethey are tuned in and they both men,","1"
"00;07;46;24","00;07;49;24","Lincoln and Douglas,are from the state of Illinois.","1"
"00;07;49;27","00;07;55;13","But both of them were keenly interestedin affairs in the West.","1"
"00;07;55;23","00;07;59;02","They were both really closelywatching things out","1"
"00;07;59;02","00;08;02;27","West and were very interestedin, in what was happening in the US West.","1"
"00;08;02;27","00;08;07;04","So, so they werethey were really probably plugged in more","1"
"00;08;07;04","00;08;10;13","than some of their other contemporarieswho could have cared less","1"
"00;08;10;13","00;08;11;28","about what was happening.","1"
"00;08;11;28","00;08;15;25","The pre-Civil War era was kind of this,this balancing","1"
"00;08;15;25","00;08;17;18","act of free state slave state.","1"
"00;08;17;18","00;08;21;10","So trying to figure out, to keepthe balance in the Senate in particular.","1"
"00;08;21;10","00;08;24;21","And then after the Civil War,it isn't so much of this,","1"
"00;08;25;28","00;08;26;22","you know, sort","1"
"00;08;26;22","00;08;30;03","of one state and another statesort of in pairs.","1"
"00;08;30;17","00;08;34;11","There was more of the sense of,can we get a block of them together?","1"
"00;08;34;11","00;08;36;27","Can we sort of do a billthat would would allow","1"
"00;08;36;27","00;08;40;20","a bunch of these statessort of to come in at the same time?","1"
"00;08;41;05","00;08;42;22","There are political considerations.","1"
"00;08;42;22","00;08;45;12","And that's the thingI think that did not change.","1"
"00;08;45;12","00;08;49;23","So, you know, there was thiscalculus of slave versus free,","1"
"00;08;50;14","00;08;54;26","pre-Civil War politics never goes awayin the creation of states.","1"
"00;08;54;26","00;08;59;29","And so there is this sense of,is this going to be a Republican","1"
"00;08;59;29","00;09;05;10","leaning state and a Democrat,the sort of state like so which,","1"
"00;09;05;29","00;09;10;14","which, you know, are we going to tryto keep keep this balance going?","1"
"00;09;10;14","00;09;13;14","And so there arethose considerations happening,","1"
"00;09;13;19","00;09;18;04","and all of this as well,so that that factors into it.","1"
"00;09;18;04","00;09;18;19","Plus,","1"
"00;09;20;00","00;09;22;04","you know, race plays a role in this.","1"
"00;09;22;04","00;09;25;04","So some places like, the","1"
"00;09;26;06","00;09;29;01","what would was termedthe Indian Territory,","1"
"00;09;29;01","00;09;33;24","in Oklahoma, like, do we admit Oklahomaand an Indian territory like,","1"
"00;09;33;24","00;09;36;28","so the eastern part of Oklahoma,which was considered Indian Territory","1"
"00;09;36;28","00;09;39;28","in the western Panhandleas something different?","1"
"00;09;40;13","00;09;42;24","So there were debates about that.","1"
"00;09;42;24","00;09;47;00","But there was sort of slowingdown of these places like New Mexico","1"
"00;09;47;00","00;09;50;00","and even Arizona,because there were so many,","1"
"00;09;50;14","00;09;53;14","indigenous,","1"
"00;09;54;11","00;09;56;00","folks who were,","1"
"00;09;56;00","00;10;00;03","you know, the bordersort of crossed them in the US-Mexico war.","1"
"00;10;00;09","00;10;03;09","So there were some","1"
"00;10;03;09","00;10;06;09","racial considerations as well about,you know,","1"
"00;10;06;18","00;10;09;18","do we really want to include, you know,","1"
"00;10;10;03","00;10;13;10","those people, as,","1"
"00;10;14;17","00;10;18;06","you know, as full citizensin the United States?","1"
"00;10;18;21","00;10;24;00","Again, Franklin was actually calledFranklin County, Deseret Territory,","1"
"00;10;24;00","00;10;27;19","and they would actually sendin their taxes into Utah.","1"
"00;10;28;04","00;10;31;01","The first settlers that came here","1"
"00;10;31;01","00;10;34;01","and actually filed their property","1"
"00;10;34;03","00;10;36;17","on their, through Utah,","1"
"00;10;36;17","00;10;41;01","through Deseret Territory,and that's where they,","1"
"00;10;41;01","00;10;46;12","had legally owned their propertybeginning before Idaho was created.","1"
"00;10;46;27","00;10;50;26","And then once Idaho was created,they had to refile on the land","1"
"00;10;50;26","00;10;54;01","they were already living on inIdaho Territory.","1"
"00;10;54;19","00;11;00;15","They had, disputed the boundary linebecause no official survey had been done.","1"
"00;11;00;23","00;11;05;02","So the residents of Frankland,had disputed it.","1"
"00;11;05;08","00;11;08;08","And in 1872, when the survey part","1"
"00;11;08;12","00;11;11;16","party came through,they definitely said yes.","1"
"00;11;11;16","00;11;15;09","Franklin was an Idaho Territorybecause residents","1"
"00;11;15;09","00;11;18;11","had believed thatafter the creation of Idaho Territory,","1"
"00;11;18;18","00;11;22;07","the boundary line was actually further upcloser to Downey area.","1"
"00;11;22;24","00;11;26;07","And with that first official survey partycoming through,","1"
"00;11;26;20","00;11;30;03","then they knowthey definitely were in Idaho Territory.","1"
"00;11;30;16","00;11;35;24","And so needless to say, they could claimthat they had both been in Utah and Idaho.","1"
"00;11;36;11","00;11;39;25","And it gave, Franklin the distinction","1"
"00;11;39;29","00;11;44;10","of being the first permanent settlementin the state of Idaho than the,","1"
"00;11;44;16","00;11;48;20","as we have a long history hereof historical buildings","1"
"00;11;49;09","00;11;53;11","and Franklin being the first permanentsettlement in Franklin and Idaho.","1"
"00;11;53;23","00;11;57;23","And so Franklin is blessedwith a lot of old buildings,","1"
"00;11;58;11","00;12;03;18","graciously, throughout time,the Idaho State Historical Society","1"
"00;12;03;18","00;12;06;18","has taken over those buildings,","1"
"00;12;06;27","00;12;09;12","caring for them and maintaining them.","1"
"00;12;09;12","00;12;15;09","And in turn, we've got the Franklin rallycalled Museum and which we're and right","1"
"00;12;15;09","00;12;20;02","now, also, we have the Carmichaelbuilding here next to us.","1"
"00;12;20;25","00;12;23;25","And it was built in 1868.","1"
"00;12;24;10","00;12;26;25","It was made from quarried rock,","1"
"00;12;26;25","00;12;32;02","and it was ripped to be the first storein the state of Idaho.","1"
"00;12;32;08","00;12;34;09","Franklin tends to have a lot of first,","1"
"00;12;34;09","00;12;38;28","because of its early, permanent settlement distinction.","1"
"00;12;39;13","00;12;40;18","And then next to that","1"
"00;12;40;18","00;12;44;11","we have the Lorenzo Hill Hatch Halland then a John Pony cabin.","1"
"00;12;44;26","00;12;49;11","And so the Historical Society,under the direction of the Idaho","1"
"00;12;49;20","00;12;53;25","State, manages and operatesthe site for visitors to come visit","1"
"00;12;54;19","00;12;58;08","and learn more about the early historyin southeast Idaho down here.","1"
"00;12;58;13","00;13;01;19","So the Lorenzo Hatch home,","1"
"00;13;01;19","00;13;04;19","was acquired by the historical Society","1"
"00;13;04;26","00;13;09;08","and 2010 time period descendants","1"
"00;13;09;10","00;13;13;03","from Lorenzo Hillhatch had actually live next to the home,","1"
"00;13;13;16","00;13;16;26","and he had had a carpenter shopin his home.","1"
"00;13;17;11","00;13;20;15","When he passed away,the home came up for sale,","1"
"00;13;20;15","00;13;25;05","and the Idaho State Historical Societypurchased that, and now it has been","1"
"00;13;25;22","00;13;30;11","refitted andand changed to be an interpretive center.","1"
"00;13;31;01","00;13;35;27","Even though was kept the classic rocklook on the outside and inside","1"
"00;13;35;27","00;13;40;19","there are interpretive panels of the stateof Idaho's early beginnings down here.","1"
"00;13;40;19","00;13;44;25","Representing Lake Bonneville,the early native Indians,","1"
"00;13;44;25","00;13;48;27","and the time periodfrom the settlement of Franklin","1"
"00;13;48;27","00;13;51;27","up now, the rental hillhatch was pretty important.","1"
"00;13;51;28","00;13;53;28","A gentleman in history.","1"
"00;13;53;28","00;13;58;17","He was, also one of the first legislatorsthat went to Boise.","1"
"00;13;59;06","00;14;03;16","He, when Franklin became part of Idaho","1"
"00;14;04;03","00;14;07;07","in 1873, he went up","1"
"00;14;07;27","00;14;12;14","and, was in the legislator legislation","1"
"00;14;12;14","00;14;17;29","there and brought the charter for Franklinto become a city or a village.","1"
"00;14;17;29","00;14;19;09","At the time.","1"
"00;14;19;09","00;14;23;04","And so he was able to get that charterand bring that back.","1"
"00;14;23;04","00;14;24;09","There was a few other bills","1"
"00;14;24;09","00;14;27;09","he submitted, but they were not passedduring that session.","1"
"00;14;27;13","00;14;30;25","But he was comfortable going therebecause he had already been","1"
"00;14;30;25","00;14;33;26","in the Utah legislature,because he came from Levi,","1"
"00;14;33;26","00;14;38;09","Utah in 1863 and moved up hereto build up the community.","1"
"00;14;38;21","00;14;44;15","And he had already served two differentterms down in Utah and Deseret Territory.","1"
"00;14;44;15","00;14;47;03","So he was used to being in government.","1"
"00;14;47;03","00;14;50;22","Yes. So in 1859, they came and settled,","1"
"00;14;50;22","00;14;53;26","into Cache Valley and","1"
"00;14;54;26","00;14;56;03","I actually","1"
"00;14;56;03","00;15;00;28","was born and raised in Wellsville,Utah, in the southern part of the valley.","1"
"00;15;01;13","00;15;02;17","And they came to settle.","1"
"00;15;02;17","00;15;06;07","Wellsville first, and then, started","1"
"00;15;06;24","00;15;10;22","progressing further upinto the northern part of Cache Valley.","1"
"00;15;11;02","00;15;14;17","Now, the pioneers that came to settle hereactually wanted to grow up","1"
"00;15;14;24","00;15;17;00","around sort of springs and settle.","1"
"00;15;17;00","00;15;21;02","But, their leader,who most of them joined the LDS church,","1"
"00;15;21;25","00;15;24;25","which was Brigham Young at the time,","1"
"00;15;24;26","00;15;28;17","he he contacted them to be able to now","1"
"00;15;28;19","00;15;31;22","go no fartherthan the northern end of Cache Valley.","1"
"00;15;32;02","00;15;35;03","And so they came here and settled and,","1"
"00;15;35;08","00;15;40;10","after they were here for a while,then they started going to Bear Lake area","1"
"00;15;40;10","00;15;44;00","and settling there,obviously in Franklin County, they went","1"
"00;15;44;00","00;15;47;00","and settled the other communitiesof Dayton, Weston,","1"
"00;15;47;00","00;15;50;01","Clifton, Oxford,","1"
"00;15;50;01","00;15;54;24","and then up to Preston,which is our county seat now, here","1"
"00;15;54;28","00;15;58;23","and then further up into down in the area","1"
"00;15;58;23","00;16;02;11","and even after the HomesteadAct opened up,","1"
"00;16;02;11","00;16;06;02","and you were able to go further into Idahoand pick up a lot more property,","1"
"00;16;06;17","00;16;09;15","then a lot of them moved up to IdahoFalls, Rexburg","1"
"00;16;09;15","00;16;12;18","and Ashland,and throughout the state of Idaho.","1"
"00;16;13;17","00;16;14;14","Franklin sits","1"
"00;16;14;14","00;16;18;19","really in a good positionbecause obviously you had","1"
"00;16;18;19","00;16;22;26","the Oregon Trail, the Californian trail,and the Mormon Trail.","1"
"00;16;23;00","00;16;25;18","That's how we came west.","1"
"00;16;25;18","00;16;28;13","You know, if you went down on the through","1"
"00;16;28;13","00;16;31;28","southern Utah,but most of them came west in that area.","1"
"00;16;32;12","00;16;35;12","So north of us sits the Oregon Trailand splits","1"
"00;16;35;12","00;16;38;12","off the California Trailand then the Mormon Trail.","1"
"00;16;38;12","00;16;41;12","And so Franklin has a good","1"
"00;16;43;04","00;16;47;16","handle on the different immigrantsthat were coming through and heading,","1"
"00;16;47;28","00;16;50;18","obviously, to California for the gold rushand then up","1"
"00;16;50;18","00;16;53;18","into further into Idaho and Washington","1"
"00;16;53;20","00;16;56;20","and typically","1"
"00;16;57;12","00;17;00;19","people would move to an areabecause of opportunity.","1"
"00;17;01;07","00;17;04;22","And that's the same reasonthat people came to Franklin and then","1"
"00;17;04;22","00;17;09;06","moved on to other parts in the Westis because there was opportunity.","1"
"00;17;09;21","00;17;13;05","And so what they brought with themwas, was the American spirit.","1"
"00;17;13;20","00;17;15;28","A lot of them were immigrantsinto America.","1"
"00;17;15;28","00;17;20;11","Some of them had ancestorsthat were along the East Coast","1"
"00;17;20;11","00;17;24;04","that farther from their freedomin the Revolutionary War,","1"
"00;17;24;21","00;17;29;02","some of them just, you know,all that decided they wanted to come west.","1"
"00;17;29;16","00;17;31;29","And so they were coming for opportunity.","1"
"00;17;31;29","00;17;35;21","And what they brought with themwas a lot of hard work and dedication.","1"
"00;17;36;03","00;17;39;20","And they all want one thingto have a happy home for their","1"
"00;17;39;20","00;17;40;28","families and their children.","1"
"00;17;41;29","00;17;42;11","And so,","1"
"00;17;42;11","00;17;45;10","yes, Iwould say that Franklin does represent","1"
"00;17;46;03","00;17;48;22","the American spirit of building","1"
"00;17;48;22","00;17;53;29","beautiful communities,have prospering, having businesses","1"
"00;17;53;29","00;17;57;24","and growing and sharingwhat they have and their area with others.","1"
"00;17;58;19","00;18;00;29","Before the railroad,the transcontinental railroad,","1"
"00;18;00;29","00;18;03;07","it took quite a whileto come across the plains,","1"
"00;18;03;07","00;18;08;20","and so they wanted to connect both sidesof the country and from east to west.","1"
"00;18;08;20","00;18;13;03","And so the transcontinental railroadwas going to be an amazing,","1"
"00;18;13;03","00;18;17;09","amazing thing that would benefitthe people that were already in the West.","1"
"00;18;18;00","00;18;21;00","And, Lorenzo Hatch,","1"
"00;18;22;07","00;18;26;09","he, with a group of gentlemenhere from Franklin, actually went out","1"
"00;18;26;09","00;18;31;07","and had contracts with the Central Pacificjust west of promontory to lay the,","1"
"00;18;31;13","00;18;34;16","the last part of the railroad gradeto promontory.","1"
"00;18;35;06","00;18;38;24","And they, worked on that railroad.","1"
"00;18;39;20","00;18;42;06","But the other half of the gentlemanhere in Franklin","1"
"00;18;42;06","00;18;45;06","had to work on this Acme Co-op building.","1"
"00;18;45;09","00;18;48;01","So there was a store for those peoplethat were coming on","1"
"00;18;48;01","00;18;52;26","the transcontinental railroad to shop atin the communities once they did get here.","1"
"00;18;53;15","00;18;56;04","So the railroad would benefit","1"
"00;18;56;04","00;18;59;11","the communities as bringing additional,","1"
"00;18;59;29","00;19;03;25","settlers and immigrantsin and business and opportunity","1"
"00;19;04;14","00;19;09;05","and Ashley Franklin, after they hadthe transcontinental railroad built,","1"
"00;19;09;16","00;19;13;18","became the end of the line for the UtahNorthern that branched off from there.","1"
"00;19;14;05","00;19;18;04","And so it sat in Franklinfor quite a while,","1"
"00;19;18;04","00;19;22;01","and there was a number of freightersthat would go and head up to the Montana","1"
"00;19;22;02","00;19;26;23","goldfields, haulingfreight from Franklin and there.","1"
"00;19;27;13","00;19;30;04","Eventually the railroadpressed further into Idaho,","1"
"00;19;30;04","00;19;34;13","and it was able to have a huge impactin the state of Idaho.","1"
"00;19;35;00","00;19;38;26","And so the railroadwas a big benefit to the state.","1"
"00;19;39;18","00;19;42;18","So Eliot Butterworth was a man of vision.","1"
"00;19;42;22","00;19;45;19","He there's no other words to call himbecause","1"
"00;19;45;19","00;19;48;19","he actually came to America.","1"
"00;19;50;09","00;19;53;12","In 1868 on the first passenger car","1"
"00;19;53;13","00;19;56;15","on the transcontinental railroadto the west.","1"
"00;19;57;05","00;20;01;04","And his family had just got here rightas they had finished the","1"
"00;20;01;22","00;20;03;09","transcontinental railroad.","1"
"00;20;03;09","00;20;07;11","So him and his mother and a sisterwere there, and an uncle in their family","1"
"00;20;07;23","00;20;11;16","came to the West,and he worked for the railroad.","1"
"00;20;11;16","00;20;14;16","He was a the perfect age,","1"
"00;20;14;17","00;20;18;23","to work and helpedbuild the railroad here to Franklin.","1"
"00;20;18;23","00;20;19;28","And then he went to southern","1"
"00;20;19;28","00;20;23;04","Utah and worked on the railroad there,and then came back","1"
"00;20;23;27","00;20;26;05","and he could see","1"
"00;20;26;05","00;20;30;01","through the next 20 or 30 yearsthat all the original,","1"
"00;20;30;01","00;20;34;06","settlers that had came and settledthe area were starting to pass away.","1"
"00;20;34;06","00;20;37;05","And he wanted to retaintheir important stories","1"
"00;20;37;14","00;20;40;14","because a lot of them had,","1"
"00;20;40;17","00;20;43;08","played a big impact in American history.","1"
"00;20;43;08","00;20;48;24","Through, like I said, onalong the East Coast, through the South,","1"
"00;20;49;10","00;20;52;19","coming across the plains,they they all had a huge impact.","1"
"00;20;52;19","00;20;56;12","So he wanted to retain their stories,not just what they ended their lives","1"
"00;20;56;12","00;20;59;15","with here in Franklin,but other contributions","1"
"00;20;59;15","00;21;03;17","that they had givenand other parts of the surrounding state.","1"
"00;21;03;17","00;21;06;21","And so he started collecting artifacts","1"
"00;21;06;21","00;21;10;09","of those individuals in the early 1900s.","1"
"00;21;10;09","00;21;13;10","And he had a store and he,","1"
"00;21;13;10","00;21;16;28","would pick up a, artifact.","1"
"00;21;16;28","00;21;18;15","Here they are.","1"
"00;21;18;15","00;21;21;24","As they were passing away,he would go to their children and ask them","1"
"00;21;21;24","00;21;25;28","if they would donate an artifact of theirsso their memory could be remembered.","1"
"00;21;26;18","00;21;30;07","In 1910, when a group of Franklin,","1"
"00;21;30;22","00;21;34;24","settlers had gone to the governorand petitioned","1"
"00;21;34;24","00;21;39;09","that Franklin be officially, recognizedas the first permanent settlement.","1"
"00;21;39;29","00;21;42;23","Then he granted that request","1"
"00;21;42;23","00;21;46;03","after affidavitshad been submitted to him,","1"
"00;21;46;19","00;21;50;18","and they were given the honorof being the first permanent settlement.","1"
"00;21;50;18","00;21;51;06","And Franklin","1"
"00;21;52;05","00;21;54;07","and they put together a small","1"
"00;21;54;07","00;21;58;04","committee of individualsthat want to preserve the history of that.","1"
"00;21;58;17","00;22;02;00","And in 1910they created the official, June","1"
"00;22;02;00","00;22;07;27","15th of Idaho Daysfor an annual celebration of that event.","1"
"00;22;07;27","00;22;11;05","And to honor these individuals each year.","1"
"00;22;11;05","00;22;14;16","And so Elliot continuedto collect these items","1"
"00;22;14;20","00;22;18;06","belonging to the pioneers,and he put them in his store.","1"
"00;22;19;06","00;22;22;14","And when he realizedthe store was getting way too small","1"
"00;22;22;14","00;22;27;24","to hold all the artifacts he hadcollected, then, during the depression,","1"
"00;22;28;13","00;22;31;27","when the New Deal came forward,then he thought he'd get","1"
"00;22;31;27","00;22;35;11","some of that money to helpbuild a museum for those artifacts.","1"
"00;22;35;23","00;22;40;24","So he once again, worked with the Franklin County office,","1"
"00;22;40;24","00;22;44;19","and then they went to the stateand asked for a grant to build","1"
"00;22;44;19","00;22;48;00","the FranklinRelic Hall Museum tax artifact collection.","1"
"00;22;48;19","00;22;53;19","And this building was built toand from the WPA program.","1"
"00;22;53;19","00;22;56;19","And the keysto be able to house the collection","1"
"00;22;56;19","00;22;59;19","that he had been,collecting through the years.","1"
"00;23;00;09","00;23;04;12","And so this buildingand is dedicated really to his memory","1"
"00;23;04;12","00;23;09;10","because he oversaw the building,the timbers were cut and the canyon up","1"
"00;23;09;25","00;23;13;23","by the CCS and then brought downand built here for his collection.","1"
"00;23;14;12","00;23;19;01","So he did not just want to tell the storyof individuals here in the community,","1"
"00;23;19;01","00;23;22;07","but he would travel throughoutthe United States picking up rare","1"
"00;23;22;07","00;23;26;08","and unique artifactsto be able to be in this, museum.","1"
"00;23;27;06","00;23;30;21","He had, goneto actually made a trip to England","1"
"00;23;30;21","00;23;33;04","because that's where he was from.","1"
"00;23;33;04","00;23;36;13","And on his way there,he was stopping at every museum","1"
